Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     27.96     0.00  1030379     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int const*, int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00     27.96     0.00  1030377     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00     27.96     0.00  1030377     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00     27.96     0.00  1030377     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00     27.96     0.00  1030361     0.00     0.00  void std::__destroy_aux<int*>(int*, int*, __true_type)
  0.00     27.96     0.00  1030361     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     27.96     0.00  1030357     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::get_allocator() const
  0.00     27.96     0.00  1030357     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00     27.96     0.00  1030357     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00     27.96     0.00  1030357     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00     27.96     0.00  1030357     0.00     0.00  int* std::__copy_aux<int const*, int*>(int const*, int const*, int*)
  0.00     27.96     0.00  1030357     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>)
  0.00     27.96     0.00   750056     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin()
  0.00     27.96     0.00   750000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end()
  0.00     27.96     0.00   655379     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00     27.96     0.00   655376     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00     27.96     0.00   655359     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00     27.96     0.00   655359     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00     27.96     0.00   655359     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00     27.96     0.00   655357     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00     27.96     0.00   655357     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00     27.96     0.00   414668     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00     27.96     0.00   375000     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::construct(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00     27.96     0.00   375000     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator+(long const&) const
  0.00     27.96     0.00   375000     0.00     0.00  std::vector<int, std::allocator<int> >::clear()
  0.00     27.96     0.00   374944     0.00     0.00  bool __gnu_cxx::operator==<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.00     27.96     0.00   331792     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00     27.96     0.00   266140     0.00     0.00  void std::__unguarded_linear_insert<int*, int>(int*, int)
  0.00     27.96     0.00   228956     0.00     0.00  __gnu_cxx::new_allocator<short>::construct(short*, short const&)
  0.00     27.96     0.00   228956     0.00     0.00  std::vector<short, std::allocator<short> >::push_back(short const&)
  0.00     27.96     0.00   228956     0.00     0.00  long std::__lg<long>(long)
  0.00     27.96     0.00   191772     0.00     0.00  int* std::__copy_backward<true, std::random_access_iterator_tag>::copy_b<int>(int const*, int const*, int*)
  0.00     27.96     0.00   191772     0.00     0.00  int* std::__copy_backward_normal<false, false>::copy_b_n<int*, int*>(int*, int*, int*)
  0.00     27.96     0.00   191772     0.00     0.00  int* std::__copy_backward_aux<int*, int*>(int*, int*, int*)
  0.00     27.96     0.00   187500     0.00     0.00  TOAST_Point::TOAST_Point()
  0.00     27.96     0.00   165842     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00     27.96     0.00   165824     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00     27.96     0.00    93751     0.00     0.00  TOAST_Mesh::elen() const
  0.00     27.96     0.00    93750     0.00     0.00  Element_Unstructured::Element_Unstructured()
  0.00     27.96     0.00    93750     0.00     0.00  Element_Unstructured_3D::Element_Unstructured_3D()
  0.00     27.96     0.00    87880     0.00     0.00  NodeList::operator[](int) const
  0.00     27.96     0.00    82912     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00     27.96     0.00    82912     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long const&) const
  0.00     27.96     0.00    82912     0.00     0.00  std::vector<int, std::allocator<int> >::insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00     27.96     0.00    17576     0.00     0.00  TOAST_Node::SetBndTp(char)
  0.00     27.96     0.00      370     0.00     0.00  __gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > >::base() const
